Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
26OhjtaTamFocE08t83ml6,"1z7b1Pr1rSlvWRzsW3HOrS","Psycho, Pt. 2","Psycho, Pt. 2","Russ",2016-11-08,161985,70,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:41:52Z,"hawaiian hip hop,pop rap",0.766,0.548,10,-4.29,1,0.235,0.775,0.00000557,0.1,0.424,82.944,4
6EtKlIQmGPB9SX8UjDJG5s,"2feDdbD5araYcm6JhFHHw7","Formula","Euphoria (Original Score from the HBO Series)","Labrinth",2019-10-04,91869,85,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:41:52Z,"indie poptimism,pop",0.574,0.664,11,-6.068,1,0.0409,0.0448,0.0553,0.146,0.226,144.654,4
5J4ZkQpzMUFojo1CtAZYpn,"66CXWjxzNUsdJxJ2JdwvnR,1Xyo4u8uXC1ZmMpatF05PJ","Love Me Harder","My Everything (Deluxe)","Ariana Grande,The Weeknd",2014-08-22,236133,79,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:41:52Z,"pop,canadian contemporary r&b,canadian pop",0.486,0.712,1,-4.388,0,0.0328,0.00936,0,0.0764,0.244,99.128,4
6XqpH9bHj7ODY1z4xI9n7E,"7nU4hB040gTmHm45YYMvqc,5GuEFqVXxQsqJtjGqoFWvf","If We Were A Movie","Hannah Montana 3","Hannah Montana,Corbin Bleu",2009-01-01,184360,48,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:41:52Z,"pop,post-teen pop,movie tunes",0.639,0.845,4,-3.729,1,0.0346,0.00651,0,0.0619,0.729,94.036,4
5J0d605KKCz4x8zbUKTaPe,"7nU4hB040gTmHm45YYMvqc","Let's Get Crazy","Hannah Montana 3","Hannah Montana",2009-01-01,155600,51,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:41:52Z,"pop,post-teen pop",0.72,0.913,7,-3.67,1,0.0491,0.00303,0.0000624,0.348,0.8,124.997,4
4vAc0cSE6cW1bWMmLAgfjf,"7nU4hB040gTmHm45YYMvqc","Don't Wanna Be Torn","Hannah Montana 3","Hannah Montana",2009-01-01,208600,42,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:41:52Z,"pop,post-teen pop",0.468,0.838,3,-2.942,1,0.034,0.00402,0,0.113,0.312,87.961,4
5SfdvzJpx8e8AAL4VDlRWp,"7nU4hB040gTmHm45YYMvqc","Supergirl","Hannah Montana 3","Hannah Montana",2009-01-01,174266,44,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:41:52Z,"pop,post-teen pop",0.735,0.905,7,-3.002,0,0.0691,0.0206,0,0.05,0.784,136.002,4
7FEwZ6YpzrzB3tYr9jtfL7,"7nU4hB040gTmHm45YYMvqc,2C9n4tQgNLhHPhSCmdsQnk","I Wanna Know You","Hannah Montana 3","Hannah Montana,David Archuleta",2009-01-01,167080,0,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:41:52Z,"pop,post-teen pop,idol,lds youth",0.674,0.731,5,-4.907,1,0.029,0.125,0,0.35,0.808,84.019,4
07HPV6hzecJmMJwsIX8YVU,"7nU4hB040gTmHm45YYMvqc","He Could Be the One","Hannah Montana 3","Hannah Montana",2009-01-01,180800,64,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:41:52Z,"pop,post-teen pop",0.602,0.894,4,-3.975,1,0.032,0.00154,0,0.433,0.643,125.988,4
3mgawAnZJZNZTFaZPofjNC,"7nU4hB040gTmHm45YYMvqc","True Friend","Hannah Montana 2 (Original Soundtrack)","Hannah Montana",2007-06-26,189173,48,spotify:user:313ydbhloyuthqjaxbxs7tg2iv34,2024-05-19T00:41:52Z,"pop,post-teen pop",0.657,0.778,4,-5.004,1,0.0329,0.0014,0.000314,0.131,0.591,98.02,4
