Track_Name,Artist_Name
"Psycho, Pt. 2",Russ
double take,Dhruv
summer&cigarettes,sammy rash
Startender (feat. Offset and Tyga),"A Boogie Wit da Hoodie,Tyga,Offset"
Swervin (feat. 6ix9ine),"A Boogie Wit da Hoodie,6ix9ine"
Demons and Angels (feat. Juice WRLD),"A Boogie Wit da Hoodie,Juice WRLD"
Look Back at It,A Boogie Wit da Hoodie
Just Like Me (feat. Young Thug),"A Boogie Wit da Hoodie,Young Thug"
Say A',A Boogie Wit da Hoodie
Unhappy,A Boogie Wit da Hoodie
Somebody (feat. Don Q),"A Boogie Wit da Hoodie,Don Q"
Drowning (feat. Kodak Black),"A Boogie Wit da Hoodie,Kodak Black"
"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)","A Boogie Wit da Hoodie,London On Da Track,Roddy Ricch,Gunna"
Broken Clocks,SZA
Drive By,Train
LoveGame,Lady Gaga
lie to me,"Ali Gatie,Tate McRae"
Hurts Like Hell (feat. Offset),"Madison Beer,Offset"
she's all i wanna be,Tate McRae
You Make Me Feel,La La La La
I Need Your Love (feat. Ellie Goulding),"Calvin Harris,Ellie Goulding"
Acapulco,Jason Derulo
Take You Dancing,Jason Derulo
Loved By You (feat. Burna Boy),"Justin Bieber,Burna Boy"
Somebody To You,"The Vamps,Demi Lovato"
It's Gonna Be Me,*NSYNC
Bye Bye Bye,*NSYNC
You Make Me Feel... (feat. Sabi),"Cobra Starship,Sabi"
Sk8er Boi,Avril Lavigne
Hate That I Love You,"Rihanna,Ne-Yo"
Woman (feat. The Dap-Kings Horns),"Kesha,The Dap-Kings Horns"
Let 'Em Talk (feat. Eagles of Death Metal),"Kesha,Eagles Of Death Metal"
Hymn,Kesha
Learn To Let Go,Kesha
Rainbow,Kesha
Don't Run Away,"Tyler James Williams,IM5"
Beautiful,Christina Aguilera
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo
Talking Body,Tove Lo
Woman Like Me (feat. Nicki Minaj),"Little Mix,Nicki Minaj"
I Love Me,Demi Lovato
P.Y.T. (Pretty Young Thing),Michael Jackson
Love Lost,"Mac Miller,The Temper Trap"
Auf & Ab,Montez
